City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,mulchen,cl,55.47,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
1,yellowknife,ca,19.42,light snow,62.456,-114.3525,The Explorer Hotel
2,krasnoselkup,ru,27.88,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
3,tuatapere,nz,66.36,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
4,thompson,ca,28.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
5,sakleshpur,in,68.54,broken clouds,12.9667,75.7833,Agani Resort
6,chifeng,cn,28.74,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
7,brae,gb,35.65,overcast clouds,60.3964,-1.353,Busta House Hotel
8,ambon,id,80.74,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
9,port hedland,au,82.45,few clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
10,hermanus,za,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
12,butaritari,ki,81.07,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
13,shaoxing,cn,58.95,moderate rain,30.011,120.5715,Holiday Inn Shaoxing
14,contamana,pe,80.1,broken clouds,-7.3333,-75.0167,Shiringal Touristic Park
15,punta arenas,cl,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
16,busselton,au,66.16,broken clouds,-33.65,115.3333,Observatory Guest House
17,coromandel,nz,74.37,clear sky,-36.7667,175.5,Coromandel TOP 10 Holiday Park
18,bulancak,tr,49.82,light rain,40.9372,38.2291,Başoğlu Bulancak Otel
19,emerald,au,76.33,clear sky,-23.5333,148.1667,The Irish Village
20,souillac,mu,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,pevek,ru,-9.56,overcast clouds,69.7008,170.3133,Severnoye Zoloto
22,carnarvon,au,71.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
23,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
25,cayenne,gf,80.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
26,bengkulu,id,75.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
27,barrow,us,-9.38,clear sky,71.2906,-156.7887,King Eider Inn
28,mahebourg,mu,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,port blair,in,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
31,segezha,ru,19.42,light snow,63.7415,34.3222,Sampo Hotel
32,sioux lookout,ca,37.47,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
33,hobart,au,59.25,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
34,cockburn town,bs,74.89,overcast clouds,24.0333,-74.5167,Club Med Columbus - Bahamas
35,aksu,cn,44.1,clear sky,41.1231,80.2644,Pudong Holiday Hotel
36,los llanos de aridane,es,60.55,scattered clouds,28.6585,-17.9182,Valle Aridane
37,hermanus,za,66.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
38,kapaa,us,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,bria,cf,73.96,broken clouds,6.5423,21.9863,WFP Guesthouse
40,isangel,vu,78.58,overcast clouds,-19.55,169.2667,Tanna Lodge
41,quelimane,mz,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
42,atar,mr,76.95,broken clouds,20.5169,-13.0499,Oumou Elghoura
43,rawson,ar,50.9,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
44,jamestown,sh,70.95,overcast clouds,-15.9387,-5.7168,Consulate
45,karratha,au,82.49,broken clouds,-20.7377,116.8463,ibis Styles Karratha
47,kotovo,ru,36.7,overcast clouds,50.3211,44.8012,Voyazh
48,ushuaia,ar,44.22,scattered clouds,-54.8,-68.3,Albatross Hotel
49,macaubas,br,72.16,overcast clouds,-13.0194,-42.6986,Hotel Portal
50,atuona,pf,79.45,overcast clouds,-9.8,-139.0333,Villa Enata
51,villa maria,ar,68.86,few clouds,-32.4075,-63.2402,Hotel Milenium
